URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/vs-estado-encuentro-urgencia"
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/vs-diagnostico-urgencia"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/vs-diagnostico-urgencia"
http://terminology.hl7.org/CodeSystem/diagnosis-role,1.1.1,active,"2.16.840.1.113883.4.642.1.1054",DiagnosisRole,Diagnosis Role,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","ValueSet/vs-uso-diagnostico"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSLeyPrevisionales,0.4.6,active,,CSLeyPrevisionales,Leyes Previsionales,"Código asociados a Leyes Previsonales que modifican o eximen los montos de copagos de las prestaciones específica, señaladas en la ley respectiva","ValueSet/VSLeyPrevisionales"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSPrevision,0.4.6,active,,CSPrevision,Previsión,"Previsión","ValueSet/VSPrevision"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSTramosFONASA,0.4.6,active,,CSTramosFONASA,Tramos de FONASA,"Tramos de FONASA","ValueSet/VSTramosFONASA"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/clasificacion-consulta,0.2.0,draft,,CSClasificacionConsulta,Clasificación de la consulta,"Clasificación médico-legal de la consulta (CMBD Urgencia: CLASIFICACIÓN DE LA CONSULTA).","ValueSet/vs-clasificacion-consulta"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/destino-alta,0.2.0,draft,,CSDestinoAlta,Destino al alta de urgencia,"Destino indicado por el profesional al dar el alta de urgencia (CMBD Urgencia: DESTINO_ALTA; NT 149 con ajustes DGTIC).","ValueSet/vs-destino-egreso,ValueSet/vs-destino-alta"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/medio-llegada,0.2.0,draft,,CSMedioLlegada,Medio de llegada,"Medio de transporte con que el paciente llega a urgencia (CMBD Urgencia: LLEGADA).","ValueSet/vs-medio-llegada"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/procedencia,0.2.0,draft,,CSProcedencia,Procedencia del paciente,"Origen del paciente al consultar en urgencia (CMBD Urgencia: PROCEDENCIA DEL PACIENTE).","ValueSet/vs-procedencia"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/pronostico-medico-legal,0.2.0,draft,,CSPronosticoMedicoLegal,Pronóstico médico-legal,"Pronóstico médico-legal registrado al cierre (CMBD Urgencia: PRONÓSTICO MÉDICO LEGAL).","ValueSet/vs-pronostico-medico-legal"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/tipo-abandono,0.2.0,draft,,CSTipoAbandono,Tipo de abandono de la atención,"Momento en que el paciente abandona voluntariamente la atención de urgencia. Códigos alineados con la versión 0.1.2-ballot de esta guía.","ValueSet/vs-tipo-abandono,ValueSet/vs-destino-egreso"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/unidad-atencion,0.2.0,draft,,CSUnidadAtencion,Unidad de atención de urgencia,"Tipo de atención asignada en la admisión (CMBD Urgencia: UNIDAD DE ATENCIÓN).","ValueSet/vs-unidad-atencion"
