"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapeo para dirección"
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion","","","",0,*,"","","","null {[]} {[]}
","Modelo Logico para el tipo de dato Direccion","Modelo Logico para el tipo de dato Nombre","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ModeloLogicoEISDireccion.region","ModeloLogicoEISDireccion.region","","","",0,1,"","","Y","Coding {[]} {[]}
","Es la máxima unidad administrativa en que se divide el país. La regionalización que actualmente rige en el país, comenzó a aplicarse en 1974. Actualmente existen 16 regiones","Es la máxima unidad administrativa en que se divide el país. La regionalización que actualmente rige en el país, comenzó a aplicarse en 1974. Actualmente existen 16 regiones","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.region",0,1,"","","Address.state.extension"
"ModeloLogicoEISDireccion.provincia","ModeloLogicoEISDireccion.provincia","","","",0,1,"","","Y","Coding {[]} {[]}
","Es una subdivisión administrativa menor que la región y que puede abarcar varias comunas","Es una subdivisión administrativa menor que la región y que puede abarcar varias comunas","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.provincia",0,1,"","","Address.district.extension"
"ModeloLogicoEISDireccion.comuna","ModeloLogicoEISDireccion.comuna","","","",1,1,"","","Y","Coding {[]} {[]}
","Es una subdivisión administrativa menor que la región que corresponde a una zona urbana, rural o mixta","Es una subdivisión administrativa menor que la región que corresponde a una zona urbana, rural o mixta","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.comuna",1,1,"","","Address.city.extension"
"ModeloLogicoEISDireccion.limiteUrbanoCensalREVISAR","ModeloLogicoEISDireccion.limiteUrbanoCensalREVISAR","","","",0,1,"","","Y","Coding {[]} {[]}
","Indica si la dirección se encuentra dentro del área urbana o rural, según la clasificación oficial del Instituto Nacional de Estadísticas (INE) de Chile.","Indica si la dirección se encuentra dentro del área urbana o rural, según la clasificación oficial del Instituto Nacional de Estadísticas (INE) de Chile.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.limiteUrbanoCensalREVISAR",0,1,"","","Address.extension"
"ModeloLogicoEISDireccion.tipoDeVia","ModeloLogicoEISDireccion.tipoDeVia","","","",0,1,"","","Y","Coding {[]} {[]}
","Corresponde al tipo o clasificación de calle. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde al tipo o clasificación de calle. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.tipoDeVia",0,1,"","","Address.extension"
"ModeloLogicoEISDireccion.datoDeLaVia","ModeloLogicoEISDireccion.datoDeLaVia","","","",2,*,"","","Y","Element {[]} {[]}
","Corresponde al nombre de la calle, avenida, pasaje, etc. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde al nombre de la calle, avenida, pasaje, etc. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.datoDeLaVia",2,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ModeloLogicoEISDireccion.datoDeLaVia.id","ModeloLogicoEISDireccion.datoDeLaVia.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ModeloLogicoEISDireccion.datoDeLaVia.extension","ModeloLogicoEISDireccion.datoDeLaVia.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ModeloLogicoEISDireccion.datoDeLaVia.nombreDeLaVia","ModeloLogicoEISDireccion.datoDeLaVia.nombreDeLaVia","","","",1,1,"","","Y","string {[]} {[]}
","Corresponden a la caracterización de la vía. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponden a la caracterización de la vía. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.datoDeLaVia.nombreDeLaVia",1,1,"","","Address.line[0]"
"ModeloLogicoEISDireccion.datoDeLaVia.numero","ModeloLogicoEISDireccion.datoDeLaVia.numero","","","",1,1,"","","Y","string {[]} {[]}
","Corresponde al número de la dirección. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde al número de la dirección. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.datoDeLaVia.numero",1,1,"","","Address.line[1]"
"ModeloLogicoEISDireccion.coordenadasGeograficas","ModeloLogicoEISDireccion.coordenadasGeograficas","","","",0,1,"","","Y","Element {[]} {[]}
","Corresponde a las coordenadas geográficas de la dirección, expresadas en formato de latitud y longitud. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde a las coordenadas geográficas de la dirección, expresadas en formato de latitud y longitud. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.coordenadasGeograficas",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ModeloLogicoEISDireccion.coordenadasGeograficas.id","ModeloLogicoEISDireccion.coordenadasGeograficas.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ModeloLogicoEISDireccion.coordenadasGeograficas.extension","ModeloLogicoEISDireccion.coordenadasGeograficas.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
