URL,Version,Status,OIDs,Name,Title,Descriptino,Used
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSCodComunasCL,0.1.0,active,,CSCodComunasCL,Códigos de Comunas en Chile,"Códigos de Comunas para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior","ValueSet/VSCodigosComunaCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSCodProvinciasCL,0.1.0,active,,CSCodProvinciasCL,Códigos de Provincias en Chile,"Códigos de Provincias para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior","ValueSet/VSCodigosProvinciasCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSCodigoLimiteUrbanoCL,0.1.0,active,,CSCodigoLimiteUrbanoCL,Limite urbano Censal,"Limite urbano Censal","ValueSet/VSCodigoLimiteUrbanoCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSConsultaOdontologicaDeEspecialidadCL,0.1.0,active,,CSConsultaOdontologicaDeEspecialidadCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSConsultaOdontologicaDeEspecialidadCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSNivelAtencion,0.1.0,active,,CSNivelAtencion,Nivel Atención Establecimiento de Salud,"Códigos de Nivel Atención Establecimiento de Salud","ValueSet/VSNivelAtencion"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSNivelComplejidad,0.1.0,active,,CSNivelComplejidad,Nivel Complejidad Establecimiento de Salud,"Códigos de Nivel Complejidad Establecimiento de Salud","ValueSet/VSNivelComplejidad"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoCodificacionDiagnosticaCL,0.1.0,active,,CSTipoCodificacionDiagnosticaCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipoCodificacionDiagnosticaCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoDeAnestesiaCL,0.1.0,active,,CSTipoDeAnestesiaCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipoDeAnestesiaCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoDeCirugiaMayorAmbulatoriaCL,0.1.0,active,,CSTipoDeCirugiaMayorAmbulatoriaCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipoDeCirugiaMayorAmbulatoriaCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoDeConsultaMedicaEspecialidadCL,0.1.0,active,,CSTipoDeConsultaMedicaEspecialidadCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipoDeConsultaMedicaEspecialidadCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoDeConsultaMedicaGeneralCL,0.1.0,active,,CSTipoDeConsultaMedicaGeneralCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipoDeConsultaMedicaGeneralCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoDeIntervencionQuirurgicaSegunComplejidadCL,0.1.0,active,,CSTipoDeIntervencionQuirurgicaSegunComplejidadCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipoDeIntervencionQuirurgicaSegunComplejidadCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoDeQuirofanoCL,0.1.0,active,,CSTipoDeQuirofanoCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipoDeQuirofanoCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoDeQuirofanoSegunUtilizacionCL,0.1.0,active,,CSTipoDeQuirofanoSegunUtilizacionCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipoDeQuirofanoSegunUtilizacionCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoDeViaCL,0.1.0,active,,CSTipoDeViaCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipoDeViaCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoDiagnosticoCL,0.1.0,active,,CSTipoDiagnosticoCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipoDiagnosticoCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipoEstPriv,0.1.0,active,,CSTipoEstPriv,Tipos de Establecimientos de Salud Privada,"Códigos para determinar Tipos de Establecimientos de Salud Privada","ValueSet/VSTipoEstPriv"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTipodeIntervencionQuirurgicaCL,0.1.0,active,,CSTipodeIntervencionQuirurgicaCL,Corresponde al tipo o clasificación de calle.,"Corresponde al tipo o clasificación de calle.","ValueSet/VSTipodeIntervencionQuirurgicaCL"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/CSTiposEstablecimientos,0.1.0,active,,CSTiposEstablecimientos,Tipos de establecimientos públicos,"Códigos para determinar el tipo de establecimiento de salud en el sector público","ValueSet/VSTiposEstablecimientos"
