Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-minsal.fhir.core.json	6165	-	0	0	0	0	0	0	2	36	0	0	0	0	0	0	0	0	0	0	49	36	0	0	0	2	1	2
fsh-generated/resources/ValueSet-VSSexoBiologico.json	697	9	0	0	0	1	0	0	0	60	0	0	0	0	0	0	0	0	0	0	4	6379	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PrestadorProfesionalMinsal.json	15788	19	0	0	0	0	0	337	0	296	0	0	1	0	0	0	0	2	0	0	684	2281	0	0	0	57	2	11
fsh-generated/resources/StructureDefinition-Mencion.json	1586	6	0	0	0	0	0	8	0	13	0	0	0	0	0	0	0	0	0	0	16	91	0	0	0	1	0	0
fsh-generated/resources/ValueSet-VSTipoIdentificadorDEIS.json	931	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	68	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadOdonto.json	1920	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	52	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSSexoBiologico.json	1463	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	46	0	0	0	0	0	1
fsh-generated/resources/ValueSet-VSEspecialidadFarma.json	951	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	65	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-SexoNacimiento820.json	1728	5	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	15	72	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadBioquim.json	1061	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	68	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSEspecialidadOdonto.json	904	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	59	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTituloProf.json	969	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	46	0	0	0	0	0	0
fsh-generated/resources/Practitioner-EjPrestadorCoreMinsal.json	1916	4	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	1
fsh-generated/resources/ValueSet-VSTituloProf.json	866	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	56	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSEspecialidadBioquim.json	904	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTipoIdentificadorDEIS.json	1974	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadFarma.json	1252	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	24	0	0	0	0	0	0
