Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-hl7.fhir.cl.minsal.quirurgico.json	35792	-	0	0	0	0	0	0	6	961	0	0	0	0	0	0	0	2	0	0	479	247	0	0	0	11	0	1
fsh-generated/resources/AllergyIntolerance-8f627a17-27f4-4519-9ff7-4f1da6f0eef2.json	858	7	0	0	1	0	0	0	0	3260	0	0	0	0	0	0	0	0	0	0	21	35	0	0	0	0	0	0
fsh-generated/resources/Appointment-0708a908-fc3a-48ea-90e7-b5cd0e516e30.json	2046	4	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	20	30	0	0	0	0	0	1
fsh-generated/resources/Appointment-76adaeb4-4885-4aa6-96c1-13b9df9a61d7.json	1816	12	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	21	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleAgendarCirugia.json	6020	6	34	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	56	43	0	0	1	0	0	0
fsh-generated/resources/Bundle-EjBundleAgendarEntrevista.json	5782	4	5	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	109	53	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleAtender.json	15376	6	27	0	0	0	0	0	5	55	0	0	0	0	0	0	0	0	0	0	180	59	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleCierre.json	6630	4	3	0	0	0	0	0	2	457	0	0	0	0	0	0	0	1	0	0	106	58	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleCirugia.json	5814	7	9	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	91	44	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleEntrevista.json	8102	7	3	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	117	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCondicionSalidaCirugia.json	947	6	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	47	11426	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadMed.json	5954	7	0	0	1	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	72	182	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadOdont.json	1888	6	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	40	120	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEstablecimientoDestino.json	1436	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	31	109	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-CSEstadoCivil.json	1231	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	29	76	0	0	1	3	0	0
fsh-generated/resources/CodeSystem-CSMediodeContacto.json	1179	6	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	29	98	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSModalidadAtencionCodigo.json	1015	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	35	93	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMotivoCierreSolicitudCirugia.json	2349	7	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	50	109	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSMotivoNoContactabilidad.json	1113	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	28	103	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSMotivoSuspencionCirugia.json	1299	4	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	33	90	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSPractitionerTipoRolLE.json	2576	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	36	97	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSReligion.json	1401	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	24	106	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSResultadoEvaluacionPreQuirurgica.json	1287	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	24	90	0	0	0	0	0	0
