Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.minsal.laboratorio.json	21236	-	0	0	0	0	0	0	8	70	0	0	1	0	0	0	0	0	0	0	225	77	0	0	0	3	0	2
fsh-generated/resources/Bundle-BundleResultadoMultipleEjemplo.json	11516	4	16	0	3	0	0	0	1	554	0	0	0	0	0	0	0	1	0	0	86	42	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleSolicitudMultipleEjemplo.json	10793	1	5	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	85	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CodigoPrestacionFonasa.json	519	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	39	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-ResultadoIndependienteEjemplo.json	2236	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-ResultadoMultipleEjemplo.json	3143	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	46	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ObservacionColesterolFonasaEjemplo.json	1656	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	41	9	0	0	0	0	0	0
fsh-generated/resources/Observation-ObservacionGlicemiaCriticaEjemplo.json	1952	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0
fsh-generated/resources/Observation-ObservacionHemoglobinaEjemplo.json	1768	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	0
fsh-generated/resources/Organization-EstablecimientoOrigenEjemplo.json	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	1	0	0	0
fsh-generated/resources/Organization-LaboratorioEjecutorEjemplo.json	674	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/Patient-PacienteEjemplo.json	780	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
