Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.minsal.mfr.json	16626	-	0	0	0	0	0	0	3	48	0	0	0	0	0	0	0	1	0	0	93	209	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-CSAmbitoFuncionamiento.json	1253	10	0	0	0	1	0	0	0	14	0	0	0	0	0	0	0	0	0	0	12	1534	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCertificacionInst.json	1143	8	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	11	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSClasificacionSapu.json	1147	8	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	9	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSDependenciaAdministrativa.json	1763	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEstadoFuncionamiento.json	1249	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	29	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSModalidadAtencion.json	1092	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSNivelAtencion.json	1052	8	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSNivelComplejidadEstablecimiento.json	1133	52	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSPertenenciaSNSS.json	975	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSSEREMI.json	1983	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	14	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSServiciosdeSalud.json	3303	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	21	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSSexoBiologico.json	1484	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	12	23	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSTipoIdentificadorDEIS.json	1959	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTipoUrgencia.json	1547	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTiposEstabPub.json	1234	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTiposEstabPubAPS.json	1258	8	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	23	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSTiposEstabPubEsp.json	1245	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTiposEstabPubHosp.json	986	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTiposEstabPubOtros.json	1506	9	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	12	42	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTiposPrestador.json	1061	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	22	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AmbitoFuncionamiento.json	2258	8	0	0	0	0	0	12	0	27	0	0	0	0	0	0	0	0	0	0	88	903	0	1	0	4	0	0
fsh-generated/resources/StructureDefinition-Certificacion.json	3307	9	0	0	0	0	0	54	0	15	0	0	1	0	0	0	0	0	0	0	93	203	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ClasificacionSAPU.json	2276	8	0	0	0	0	0	23	0	13	0	0	0	0	0	0	0	1	0	0	90	254	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-Dependencia.json	2382	8	0	0	0	0	0	16	0	14	0	0	0	0	0	0	0	0	0	0	87	177	0	0	0	8	0	1
