Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.minsal.mpi.json	12771	-	0	0	0	0	0	0	2	51	0	0	0	0	0	0	0	0	0	0	153	74	0	0	0	9	0	0
fsh-generated/resources/CodeSystem-CSUNivelAprob.json	1350	9	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	2475	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTipoObservacion.json	1058	7	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	9	53	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AgrupacionPorMarcas.json	3497	13	0	0	0	0	0	107	0	105	0	0	1	0	0	0	0	1	0	0	423	1191	0	0	0	5	0	1
fsh-generated/resources/ValueSet-VSUNivelAprob.json	872	5	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	5	4638	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DirigenteVecinal.json	1800	9	0	0	0	0	0	15	0	10	0	0	0	0	0	0	0	0	0	0	70	108	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-NivelEducacional.json	9701	14	0	0	0	0	0	197	0	226	0	0	0	0	0	0	0	1	0	0	1323	967	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-Prilonco.json	1723	6	1	0	0	0	0	21	0	16	0	0	0	0	0	0	0	0	0	0	66	82	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-PueblosAfrodescendiente.json	1589	5	0	0	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	68	70	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-Antuco.json	1705	6	0	0	0	0	0	22	0	9	0	0	0	0	0	0	0	0	0	0	123	76	0	0	0	2	0	0
fsh-generated/resources/ValueSet-VSNivelEducacionalDesc.json	879	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	71	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CoberturaMinsalMPI.json	5868	9	0	0	0	0	0	86	0	67	0	0	0	0	0	0	0	1	0	0	509	319	0	0	0	52	1	0
fsh-generated/resources/CodeSystem-CSOrigenDiscapacidad.json	1238	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	22	0	0	0	2	0	0
fsh-generated/resources/ValueSet-VSPrevision.json	813	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	27	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Religion.json	2313	6	0	0	0	0	0	22	0	20	0	0	0	0	0	0	0	0	0	0	135	112	0	0	0	9	0	1
fsh-generated/resources/CodeSystem-CSPrevision.json	987	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	26	25	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Prais.json	1696	6	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	61	75	0	0	0	2	0	0
fsh-generated/resources/ValueSet-PueblosOriginariosVS.json	485	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	29	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSOrigenDiscapacidad.json	867	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTramosFONASA.json	1005	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	22	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSTramosFONASA.json	831	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	23	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-SituacionDiscapacidad.json	4796	9	0	0	0	0	0	111	0	82	0	0	0	0	0	0	0	0	0	0	565	1061	0	0	0	8	0	0
fsh-generated/resources/CodeSystem-CScalificacionPrevisional.json	1068	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	25	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PacienteMinsalMPI.json	8376	11	0	0	0	0	0	193	0	194	0	0	0	0	0	0	0	2	0	0	1738	1258	0	0	0	14	0	2
fsh-generated/resources/CodeSystem-PueblosOriginariosCS.json	1097	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	28	23	0	0	0	1	0	0
fsh-generated/resources/ValueSet-VSValoracionDesempeno.json	875	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	42	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSTipoObservacion.json	849	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	35	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-RelatedPersonMPI.json	2027	2	0	0	0	0	0	38	0	27	0	0	0	0	0	0	0	0	0	0	343	168	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-PueblosOriginariosPerteneciente.json	1930	3	0	0	0	0	0	11	0	9	0	0	0	0	0	0	0	0	0	0	104	68	0	0	0	2	0	0
fsh-generated/resources/ValueSet-VSReligion.json	807	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	35	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PueblosOriginarios.json	2651	3	0	0	0	0	0	22	0	19	0	0	0	0	0	0	0	0	0	0	331	155	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-OrigenDiscapacidad.json	2393	2	0	0	0	0	0	23	0	19	0	0	0	0	0	0	0	0	0	0	269	148	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SituacionCalle.json	1777	2	1	0	0	0	0	12	0	8	0	0	0	0	0	0	0	0	0	0	164	81	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSReligion.json	1394	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	25	22	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-SexoBiologico.json	1579	2	0	0	0	0	0	10	0	7	0	0	0	0	0	0	0	0	0	0	116	50	0	0	0	1	0	1
fsh-generated/resources/ValueSet-VSIdentidadDeGenero.json	861	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSIdentidadDeGenero.json	1246	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VScalificacionPrevisional.json	897	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	25	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IdentidadDeGenero.json	2005	2	0	0	0	0	0	13	0	15	0	0	0	0	0	0	0	0	0	0	100	66	0	0	0	1	0	0
fsh-generated/resources/ValueSet-VSGrupoMarcas.json	825	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSNivelEducacionalDesc.json	953	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Ocupacion.json	4912	5	0	0	0	0	0	106	0	108	0	0	0	0	0	0	0	1	0	0	708	512	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-PaisOrigenMPI.json	2244	3	0	0	0	0	0	18	0	21	0	0	0	0	0	0	0	0	0	0	143	101	0	0	0	2	1	0
fsh-generated/resources/CodeSystem-CSGrupoMarcas.json	1099	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	19	0	0	0	0	0	0
