URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/VSSistemasComunicacion"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ConceptMap/MPIMaritalStatusMap,ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ConceptMap/MPIMaritalStatusMap,ValueSet/marital-status"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSTipoIdentificador,1.9.4,active,,CSTipoIdentificador,Tipo Identificador,"Tipo Identificador","ValueSet/VSIdentificadorPrestador"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSClasesDeCobertura,0.4.8,active,,CSClasesDeCobertura,Clase de Cobertura de Salud,"Permitira definir los distintos tipos de clases requeridos para la cobertura. Los tramos de FONASA, Planes de Isapre, Otras leyes previsionales, Leyes de priorización y de reparación.","ValueSet/VSClasesDeCobertura"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSComponenteDiscapacidad,0.4.8,active,,CSComponenteDiscapacidad,Componentes de Observación de Discapacidad,"Diferenciación entre los componentes de la observación de discapacidad","ValueSet/VSComponenteDiscapacidad"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSEspecialidadBioqca,0.4.8,active,,CSEspecialidadBioqca,Especialidades y Subespecialidades Bioquímicas,"Especialidades y Subespecialidades Bioquímicas","ValueSet/VSEspecialidadBioqca"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSEspecialidadFarma,0.4.8,active,,CSEspecialidadFarma,Especialidades Farmaceúticas o Química Farmaceúticas,"Especialidades Farmaceúticas o Química Farmaceúticas","ValueSet/VSEspecialidadFarma"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSEspecialidadMed,0.4.8,active,,CSEspecialidadMed,Especialidades Médicas,"Especialidades Médicas","ValueSet/VSEspecialidadMed"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSEspecialidadOdont,0.4.8,active,,CSEspecialidadOdont,Especialidades Odontológicas,"Especialidades Odontológicas","ValueSet/VSEspecialidadOdont"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSEstadoCivil,0.4.8,active,,CSEstadoCivil,Estado Civil,"Estado Civil","ValueSet/VSEstadoCivil,ConceptMap/MPIMaritalStatusMap"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSGrupoMarcas,0.4.8,active,,CSGrupoMarcas,Grupo Marcas,"Diferenciación entre los posibles grupos dentro del MPI","ValueSet/VSGrupoMarcas"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSIdentidadDeGenero,0.4.8,active,,CSIdentidadDeGenero,Identidad De Género,"Identidad De Género","ValueSet/VSIdentidadDeGenero"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSLeyPrevisionales,0.4.8,active,,CSLeyPrevisionales,Leyes Previsionales,"Código asociados a Leyes Previsonales que modifican o eximen los montos de copagos de las prestaciones específica, señaladas en la ley respectiva","ValueSet/VSLeyPrevisionales"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSLeyReparacion,0.4.8,active,,CSLeyReparacion,Leyes Reparación,"Código asociados a Leyes de Reparación que modifican o eximen los montos de copagos de las prestaciones específica, señaladas en la ley respectiva","ValueSet/VSLeyReparacion"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSNivelEducacionalDesc,0.4.8,active,,CSNivelEducacionalDesc,Nivel Educacional Descripción,"Codificación del Nivel Educacional para diferenciar entre los componenetes de la observación","ValueSet/VSNivelEducacionalDesc"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSOcupacionesDet,0.4.8,active,,CSOcupacionesDet,Ocupaciones Detalladas,"Código asociados a el detalle de las ocupaciones de un paciente","ValueSet/VSOcupacionesDet"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSOrigenDiscapacidad,0.4.8,active,,CSOrigenDiscapacidad,Origen Discapacidad,"Origen Discapacidad","ValueSet/VSOrigenDiscapacidad"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSPrevision,0.4.8,active,,CSPrevision,Previsión,"Previsión","ValueSet/VSPrevision"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSReligion,0.4.8,active,,CSReligion,Religión,"Religión","ValueSet/VSReligion"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSTipoIdentificador,0.4.8,active,,CSTipoIdentificador,Tipo Identificador,"Tipo Identificador","ValueSet/VSTiposIdentificadorPaciente,ValueSet/VSTipoIdentificador"
