URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/MINSALPacienteBusqueda,ConceptMap/MPIMaritalStatusMap,StructureDefinition/MINSALPaciente","THO (V3)"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/PueblosOriginariosVS,0.4.9,draft,,PueblosOriginariosVS,Pueblos Originarios de Chile,"Pueblos Originarios de Chile","StructureDefinition/PueblosOriginariosMPI","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSClasesDeCobertura,0.4.9,active,,VSClasesDeCobertura,Clase de Cobertura de Salud,"Permitira definir los distintos tipos de clases requeridos para la cobertura. Los tramos de FONASA, Planes de Isapre, Otras leyes previsionales, Leyes de priorización y de reparación.","StructureDefinition/MINSALCobertura","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSComponenteDiscapacidad,0.4.9,active,,VSComponenteDiscapacidad,Componentes de Observación de Discapacidad,"Diferenciación entre los componentes de la observación de discapacidad","StructureDefinition/MINSALSituacionDiscapacidad","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSEspecialidadBioqca,0.4.9,active,,VSEspecialidadBioqca,Especialidades y Subespecialidades Bioquímicas,"Especialidades y Subespecialidades Bioquímicas","StructureDefinition/MINSALPrestadorProfesional","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSEspecialidadFarma,0.4.9,active,,VSEspecialidadFarma,Especialidades Farmaceúticas o Química Farmaceúticas,"Especialidades Farmaceúticas o Química Farmaceúticas","StructureDefinition/MINSALPrestadorProfesional","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSEspecialidadMed,0.4.9,active,,VSEspecialidadMed,Especialidades Médicas,"Especialidades Médicas","StructureDefinition/MINSALPrestadorProfesional","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSEspecialidadOdont,0.4.9,active,,VSEspecialidadOdont,Especialidades Odontológicas,"Especialidades Odontológicas","StructureDefinition/MINSALPrestadorProfesional","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSEstadoCivil,0.4.9,active,,VSEstadoCivil,Estado Civil,"Estado Civil","StructureDefinition/MINSALPacienteBusqueda,ConceptMap/MPIMaritalStatusMap,StructureDefinition/MINSALPaciente","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSGrupoMarcas,0.4.9,active,,VSGrupoMarcas,Grupo Marcas,"Diferenciación entre los posibles grupos dentro del MPI","StructureDefinition/MINSALCobertura,StructureDefinition/MINSALAgrupacionPorMarcas","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSIdentidadDeGenero,0.4.9,active,,VSIdentidadDeGenero,Identidad De Género,"Identidad De Género",,"Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSIdentificadorPrestador,0.4.9,active,,VSIdentificadorPrestador,Identificador del Prestador,"Identificador del Prestador Profesional o Administrativo","StructureDefinition/MINSALPrestadorProfesional,StructureDefinition/MINSALPractitionerAdministrativo","hl7.fhir.cl.clcore"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSLeyPrevisionales,0.4.9,active,,VSLeyPrevisionales,Leyes Previsionales,"Código asociados a Leyes Previsonales que modifican o eximen los montos de copagos de las prestaciones específica, señaladas en la ley respectiva","StructureDefinition/MINSALCobertura","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSLeyReparacion,0.4.9,active,,VSLeyReparacion,Leyes Reparación,"Código asociados a Leyes de Reparación que modifican o eximen los montos de copagos de las prestaciones específica, señaladas en la ley respectiva","StructureDefinition/MINSALCobertura","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSNivelEducacionalDesc,0.4.9,active,,VSNivelEducacionalDesc,Nivel Educacional Descripción,"Codificación del Nivel Educacional para diferenciar entre los componenetes de la observación","StructureDefinition/MINSALNivelEducacional","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSOcupacionesDet,0.4.9,active,,VSOcupacionesDet,Ocupaciones Detalladas,"Código asociados a el detalle de las ocupaciones de un paciente","StructureDefinition/MINSALOcupacion","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSOrigenDiscapacidad,0.4.9,active,,VSOrigenDiscapacidad,Origen Discapacidad,"Origen Discapacidad","StructureDefinition/MINSALSituacionDiscapacidad","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSPrevision,0.4.9,active,,VSPrevision,Previsión,"Previsión","StructureDefinition/MINSALCobertura","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSReligion,0.4.9,active,,VSReligion,Religión,"Religión","StructureDefinition/Religion","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSSistemasComunicacion,0.4.9,active,,VSSistemasComunicacion,Medios de Comunicación con el Paciente,"Este es un filtro del ""system"" del telecom del paciente solo para que se ocupen los indicados por normativa","StructureDefinition/MINSALPacienteBusqueda,StructureDefinition/MINSALAcompanante,StructureDefinition/MINSALPaciente","hl7.fhir.r4.core"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSTipoIdentificador,0.4.9,active,,VSTipoIdentificador,Tipo Identificador,"Tipo Identificador",,"Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSTipoObservacion,0.4.9,active,,VSTipoObservacion,Tipo de Observacion,"Codificación para identificar las distintas observaciones existentes dentro del MPI","StructureDefinition/MINSALOcupacion,StructureDefinition/MINSALNivelEducacional,StructureDefinition/MINSALSituacionDiscapacidad","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSTiposIdentificadorPaciente,0.4.9,active,,VSTiposIdentificadorPaciente,Tipos de Identificadores de Paciente,"Tipos de Identificadores de Paciente","StructureDefinition/MINSALPacienteBusqueda,StructureDefinition/MINSALPaciente","Internal"
