Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.minsal.nid-mpi-hpd.json	51303	-	0	0	0	0	0	0	7	62	0	0	0	0	0	0	0	1	0	0	177	130	0	0	0	7	0	1
fsh-generated/resources/Bundle-EjemploBusqueda.json	7996	5	0	0	0	1	18	0	1	547	0	0	0	0	0	0	0	0	0	0	28	22	0	1	0	0	0	0
fsh-generated/resources/Bundle-EjemploBusquedaAdm.json	3392	5	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjemploBusquedaMatch.json	8137	3	4	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	26	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjemploBusquedaMatchOutcomeOperation.json	924	3	4	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjemploBusquedaOrg.json	2688	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjemploBusquedaProf.json	4806	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	24	21	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-MPI.IHE.PDQm.Search.Cliente.Match.json	3736	2	1	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	30	34	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-MPI.IHE.PDQm.Search.Cliente.json	7731	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	37	19	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-MPI.IHE.PIXm.Buscador.json	2580	3	4	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	42	13	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-MPI.IHE.PIXm.Origen.json	9097	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	73	12	0	0	0	1	0	1
fsh-generated/resources/CapabilityStatement-MPI.IHE.PIXm.PDQm.Manager.json	17014	3	7	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	63	19	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-NID.IHE.HPD.Consumer.json	9805	3	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	43	13	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-NID.IHE.HPD.Manager.json	11858	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	45	14	0	0	0	3	0	0
fsh-generated/resources/CapabilityStatement-NID.IHE.HPD.Source.json	4360	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	30	12	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSClasesDeCobertura.json	1326	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	2283	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSComponenteDiscapacidad.json	1080	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadBioqca.json	1062	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	41	0	0	0	0	0	0
