Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.minsal.nid.json	51572	-	0	0	0	0	0	0	22	1258	0	0	0	0	0	0	0	1	0	0	173	105	0	1	0	6	0	1
fsh-generated/resources/Bundle-EjemploBusqueda.json	7996	4	1	0	0	0	21	0	0	500	0	0	0	0	0	0	0	0	0	0	23	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjemploBusquedaAdm.json	3392	4	0	0	0	0	4	0	1	5	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjemploBusquedaMatch.json	8137	3	8	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	21	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjemploBusquedaMatchOutcomeOperation.json	924	2	5	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjemploBusquedaOrg.json	2688	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	1	0	0	0
fsh-generated/resources/Bundle-EjemploBusquedaProf.json	4806	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-MPI.IHE.PDQm.Search.Cliente.Match.json	3737	3	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	29	39	0	1	0	0	0	0
fsh-generated/resources/CapabilityStatement-MPI.IHE.PDQm.Search.Cliente.json	7732	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	30	13	0	1	0	1	0	0
fsh-generated/resources/CapabilityStatement-MPI.IHE.PIXm.Buscador.json	2580	2	4	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	21	12	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-MPI.IHE.PIXm.Origen.json	9097	3	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	35	11	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-MPI.IHE.PIXm.PDQm.Manager.json	17015	5	7	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	52	17	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-NID.IHE.HPD.Consumer.json	9807	3	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	10	0	1	0	1	0	0
fsh-generated/resources/CapabilityStatement-NID.IHE.HPD.Manager.json	11860	2	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	37	14	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-NID.IHE.HPD.Source.json	4360	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	29	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSClasesDeCobertura.json	1326	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	1925	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSComponenteDiscapacidad.json	1080	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadBioqca.json	1062	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadFarma.json	1217	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadMed.json	5963	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	43	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadOdont.json	1881	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	14	30	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-CSEstadoCivil.json	1226	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSGrupoMarcas.json	1585	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSIdentidadDeGenero.json	1252	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSLeyPrevisionales.json	1756	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSLeyReparacion.json	1155	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSNivelEducacionalDesc.json	1039	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSOcupacionesDet.json	45106	6	1	0	0	0	0	0	2	19	0	0	0	0	0	0	0	1	0	0	167	79	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-CSOrigenDiscapacidad.json	1234	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSPrevision.json	1611	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	27	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-CSReligion.json	1396	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTipoObservacion.json	1128	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	25	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSTituloProfesional.json	3090	3	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	20	28	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSTramosFONASA.json	1013	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSUNivelAprob.json	1352	2	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	12	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSValoracionDesempeno.json	1156	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CScalificacionPrevisional.json	1072	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PueblosOriginariosCS.json	1098	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	24	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoberturaFONASAEjemplo.json	1355	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Group-AgrupacionMarcas.json	544	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Observation-EjemploNivelEducacional.json	1617	2	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/Observation-EjemploOcupacion.json	979	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
