URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/VSTerminologiasDiag"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/CodigoExamen,ValueSet/TipoDeObservacion"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/allergyintolerance-code,ValueSet/TipoDeObservacion,ValueSet/procedure-code,ValueSet/VSTerminologiasDiag,ValueSet/condition-severity"
http://terminology.hl7.org/CodeSystem/condition-clinical,3.0.0,active,"2.16.840.1.113883.4.642.1.1074",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","ValueSet/condition-clinical"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/condition-ver-status"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSTipoIdentificador,1.9.4,active,,CSTipoIdentificador,Tipo Identificador,"Tipo Identificador","ValueSet/VSIdentificadorPrestador,ValueSet/VSTipoIdentificador"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSCondicionSalidaCirugia,0.1.2-ballot,active,,CSCondicionSalidaCirugia,Condición Salida Cirugía,"Condición Salida Cirugía","ValueSet/VSCondicionSalidaCirugia"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSEspecialidadMed,0.1.2-ballot,active,,CSEspecialidadMed,EspecialidadMed,"EspecialidadMed","ValueSet/VSEspecialidadMed"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSEspecialidadOdont,0.1.2-ballot,active,,CSEspecialidadOdont,Especialidades Odontológicas,"Especialidades Odontológicas","ValueSet/VSEspecialidadOdont"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSEstablecimientoDestino,0.1.2-ballot,active,,CSEstablecimientoDestino,Establecimiento Destino Código,"Establecimiento destino código ejemplos hechos en base a este documento con los [Códigos DEIS del establecimientos](https://datos.gob.cl/dataset/establecimientos-de-salud-vigentes)","ValueSet/VSEstablecimientoDestino"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSEstadoCivil,0.1.2-ballot,active,,CSEstadoCivil,EstadoCivil,"EstadoCivil","ValueSet/VSEstadoCivil"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSMediodeContacto,0.1.2-ballot,active,,CSMediodeContacto,Medio Notificación,"Medio Notificación","ValueSet/VSMediodeContacto"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSModalidadAtencionCodigo,0.1.2-ballot,active,,CSModalidadAtencionCodigo,Modalidad Atencion Codigo,"Modalidad Atencion Codigo","ValueSet/VSModalidadAtencionCodigo"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSMotivoCierreSolicitudCirugia,0.1.2-ballot,active,,CSMotivoCierreSolicitudCirugia,Motivo Cierre Solicitud Cirugía,"Motivo Cierre Solicitud Cirugía","ValueSet/VSMotivoCierreSolicitudCirugia"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSMotivoNoContactabilidad,0.1.2-ballot,active,,CSMotivoNoContactabilidad,Motivo No Contactabilidad,"Motivo No Contactabilidad","ValueSet/VSMotivoNoContactabilidad"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSMotivoSuspencionCirugia,0.1.2-ballot,active,,CSMotivoSuspencionCirugia,Motivo Suspensión Cirugía,"Motivo Suspensión Cirugía","ValueSet/VSMotivoSuspencionCirugia"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSPractitionerTipoRolLE,0.1.2-ballot,active,,CSPractitionerTipoRolLE,Rol de profesionales,"CodeSystem con códigos definidos para representar cada rol de profesional o funcionario administrativo dentro de la lista de espera quirúrgica","ValueSet/VSPractitionerTipoRolLE"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSReligion,0.1.2-ballot,active,,CSReligion,Religion,"Religion","ValueSet/VSReligion"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSResultadoEvaluacionPreQuirurgica,0.1.2-ballot,active,,CSResultadoEvaluacionPreQuirurgica,Resultado Evaluación Pre Quirúrgica,"Códigos de resultado de la evaluación pre quirúrgica","ValueSet/VSResultadoEvaluacionPreQuirurgica"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSTipoAgendamiento,0.1.2-ballot,active,,CSTipoAgendamiento,Tipo Agendamiento,"Tipo Agendamiento","ValueSet/VSTipoAgendamiento"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSTipoCirugiaPropuesta,0.1.2-ballot,active,,CSTipoCirugiaPropuesta,Tipo Cirugía Propuesta,"Códigos de tipo de cirugía propuesta","ValueSet/VSTipoCirugiaPropuesta"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSTipoConsulta,0.1.2-ballot,active,,CSTipoConsulta,Tipo Consulta,"Tipo Consulta","ValueSet/VSTipoConsulta"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSTipoObservacionMinsal,0.1.2-ballot,active,,CSTipoObservacionMinsal,Tipo de Observación,"Son todos los tipos de observaciones dadas por el Ministerio De Salud","ValueSet/TipoDeObservacion"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSTipoPriorizacion,0.1.2-ballot,active,,CSTipoPriorizacion,Tipo Priorización,"Tipo Priorización","ValueSet/VSTipoPriorizacion"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSTipoServicioAgendamiento,0.1.2-ballot,active,,CSTipoServicioAgendamiento,Tipo Servicio Agendamiento,"Tipo Servicio Agendamiento","ValueSet/VSTipoServicioAgendamiento"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/CSTituloProfesional,0.1.2-ballot,active,,CSTituloProfesional,TituloProfesional,"TituloProfesional","ValueSet/VSTituloProfesional"
https://interoperabilidad.minsal.cl/fhir/ig/quirurgico/CodeSystem/PueblosOriginariosCS,0.1.2-ballot,active,,PueblosOriginariosCS,Pueblos Originarios de Chile,"Pueblos Originarios de Chile","ValueSet/PueblosOriginariosVS"
urn:iso:std:iso:3166,1.0.1,active,"1.0.3166.1",ISO3166Part1,ISO 3166-1 Codes for the representation of names of countries and their subdivisions — Part 1: Country code,"ISO 3166-1 establishes codes that represent the current names of countries, dependencies, and other areas of particular geopolitical interest, on the basis of country names obtained from the United Nations.","ValueSet/CodPais"
