Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-hl7.fhir.cl.minsal.quirurgico.json	36149	-	0	0	0	0	0	0	17	158	0	0	0	0	0	0	0	3	0	0	491	735	0	0	0	26	0	2
fsh-generated/resources/AllergyIntolerance-8f627a17-27f4-4519-9ff7-4f1da6f0eef2.json	858	18	0	0	0	0	0	0	0	2648	0	0	0	0	0	0	0	0	0	0	52	107	0	0	1	0	0	0
fsh-generated/resources/Appointment-0708a908-fc3a-48ea-90e7-b5cd0e516e30.json	2046	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	62	127	0	0	0	0	0	0
fsh-generated/resources/Appointment-76adaeb4-4885-4aa6-96c1-13b9df9a61d7.json	1816	16	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	58	61	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleAgendarCirugia.json	6020	8	46	0	3	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	94	163	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleAgendarEntrevista.json	5782	30	17	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	91	122	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleAtender.json	15277	11	46	0	0	0	0	0	2	55	0	0	0	0	0	0	0	1	0	0	234	142	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleCierre.json	6630	3	23	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	120	114	0	0	0	1	0	0
fsh-generated/resources/Bundle-EjBundleCirugia.json	5814	6	1	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	104	101	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleEntrevista.json	8102	10	31	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	100	121	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCondicionSalidaCirugia.json	947	12	0	0	0	0	0	0	0	32	0	0	2	0	0	0	0	0	0	0	52	1017	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadMed.json	5954	10	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	142	220	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadOdont.json	1888	11	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	96	144	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEstablecimientoDestino.json	1436	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	326	138	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEstadoCivil.json	1231	16	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	54	176	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMediodeContacto.json	1179	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	161	130	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSModalidadAtencionCodigo.json	1015	9	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	128	117	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMotivoCierreSolicitudCirugia.json	2349	11	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	78	122	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSMotivoNoContactabilidad.json	1113	6	0	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	53	113	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMotivoSuspencionCirugia.json	1299	10	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	72	111	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSPractitionerTipoRolLE.json	2576	4	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	124	217	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-CSReligion.json	1401	15	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	52	140	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSResultadoEvaluacionPreQuirurgica.json	1287	10	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	101	138	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTipoAgendamiento.json	1101	9	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	69	134	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTipoCirugiaPropuesta.json	1127	9	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	58	153	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSTipoConsulta.json	890	9	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	49	129	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTipoObservacionMinsal.json	976	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	48	120	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTipoPriorizacion.json	1254	11	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	53	121	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTipoServicioAgendamiento.json	992	10	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	57	103	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTituloProfesional.json	3079	11	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	79	126	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-PueblosOriginariosCS.json	1509	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	136	150	0	0	0	1	0	0
fsh-generated/resources/Condition-b97a87f6-060d-48de-9e4d-db93518fd278.json	1134	9	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	74	83	0	0	0	0	0	0
fsh-generated/resources/Encounter-23b7f034-a998-44d7-9be4-0281be8222c0.json	1237	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	95	100	0	0	1	0	0	0
fsh-generated/resources/Encounter-6c7dae68-552d-44cb-b414-e5024ae8e0a0.json	1611	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	101	71	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-d853623b-9ad4-4ceb-8d25-09facfa877e3.json	577	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	90	127	0	0	0	0	0	0
fsh-generated/resources/Observation-6f81d435-c6ca-4a73-9a59-2d89bc9b7e71.json	1080	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	90	87	0	0	0	0	0	0
fsh-generated/resources/Observation-913614cd-2069-49be-a1d8-0bc0cdacd5f2.json	969	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	96	102	0	0	0	0	0	0
fsh-generated/resources/Observation-de52c7f4-7022-4aab-9e7e-968fc792a9a4.json	1070	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	51	115	0	0	0	0	0	0
fsh-generated/resources/Organization-5491b8d5-e06c-4f89-beb7-75a1989cdc81.json	441	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	62	110	0	0	0	0	0	0
fsh-generated/resources/Patient-22e862c5-6d96-44ec-869c-dba001058cb3.json	3452	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	58	104	0	0	0	0	0	0
fsh-generated/resources/Practitioner-2d5d9db4-6ade-43c9-b4f5-cc68b9c7f210.json	1330	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	73	40	0	0	0	0	0	0
