URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/r2bo-snomed-hallazgos-clinicos-cie10-VS"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/r2bo-observaciones-NeoAdyuvancia-VS,ValueSet/r2bo-observaciones-biopsia-VS,ValueSet/r2bo-reporte-biopsia-vs"
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl,3.0.0,active,"2.16.840.1.113883.3.26.1.1",NciThesaurus,NCI Thesaurus,"NCI Thesaurus NCI Thesaurus is a biomedical thesaurus created specifically to meet the needs of the cancer research community, especially those engaged in translational research NCI Thesaurus is produced by the NCI Enterprise Vocabulary Services project. The NCI Thesaurus is provided under an open content license.","ValueSet/mcode-tnm-staging-method-vs"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/r2bo-categorias-pTNM-VS,ValueSet/mcode-tnm-stage-group-vs,ValueSet/r2bo-caracteristicas-margen-quirurgico-VS,ValueSet/r2bo-procedimientos-biopsias-VS,ValueSet/r2bo-snomed-hallazgos-clinicos-cie10-VS,ValueSet/r2bo-tnm-categoria-metastasis-distante-patologico-vs,ValueSet/r2bo-respuestas-infiltracion-peritumoral-vs,ValueSet/r2bo-tnm-categoria-nodo-regional-patologico-vs,ValueSet/r2bo-topografica-cieo-VS,ValueSet/r2bo-observaciones-biopsia-VS,ValueSet/mcode-tnm-staging-method-vs,ValueSet/r2bo-estructuras-anatomicas-VS,ValueSet/r2bo-morfologicosct-cieo-VS,ValueSet/r2bo-reporte-biopsia-vs,ValueSet/r2bo-invasion-linfatica-VS,ValueSet/mcode-tnm-stage-group-staging-type-vs,ValueSet/r2bo-respuestas-infiltracion-perineural-vs,ValueSet/r2bo-tnm-categoria-tumor-primario-patologico-vs,ValueSet/procedure-code,ValueSet/r2bo-tipo-especimen-vs,ValueSet/r2bo-metodos-medicion-VS,ValueSet/r2bo-tipo-procedimientos-biopsias-VS"
http://terminology.hl7.org/CodeSystem/icd-o-3,2.0.1,active,"2.16.840.1.113883.6.43.1",IcdO3,International Classification of Diseases for Oncology, version 3.,"International Classification of Diseases for Oncology, version 3. For more information see http://www.who.int/classifications/icd/adaptations/oncology/en/.","ValueSet/r2bo-topografica-cieo-VS,ValueSet/r2bo-morfologicosct-cieo-VS"
http://terminology.hl7.org/CodeSystem/v2-0074,3.0.0,active,"2.16.840.1.113883.18.29",DiagnosticServiceSectionId,diagnosticServiceSectionId,"HL7-defined code system of concepts which specify a section of a diagnostic service where the observation may be performed.  Used in HL7 Version 2.x messaging in the OBR and OM4 segments.","ValueSet/r2bo-categoria-reporte-biopsia-vs"
http://terminology.hl7.org/CodeSystem/v2-0916,3.0.0,active,"2.16.840.1.113883.18.422",RelevantClincialInformation,relevantClincialInformation,"Code system of concepts specifying additional clinical information about the patient or specimen to report the supporting and/or suspected diagnosis and clinical findings on requests for interpreted diagnostic studies. Used in HL7 Version 2.x messaging in the OBR segment.","ValueSet/v2-0916"
http://unitsofmeasure.org,3.0.1,active,"2.16.840.1.113883.6.8",UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/r2bo-medida-margen-quirurgico-VS,ValueSet/mcode-tumor-size-units-vs"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSEspecialidadMed,0.4.9,active,,CSEspecialidadMed,Especialidades Médicas,"Especialidades Médicas","ValueSet/r2bo-especialistas-autorizado-VS"
https://interoperabilidad.minsal.cl/fhir/ig/nid/CodeSystem/CSTituloProfesional,0.4.9,active,,CSTituloProfesional,Título Profesional,"Título del Prestador Profesional","ValueSet/r2bo-profesional-autorizado-VS"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/CodeSystem/r2bo-grado-diferenciacion-CS,0.1.1-ballot,draft,,GradoDiferenciacionCS,Sistema de Codificación del Grado de Diferenciación,"Grado de diferenciación tumoral según clasificación de la OMS","ValueSet/r2bo-grado-diferenciacion-vs"
