"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapeo de Modelo Lógico a Informe","Mapping: Mapeo de Modelo Informe a Muestra","Mapping: Mapeo de Modelo Informe a Estadificación TNM","Mapping: Mapeo de Profesional en el Informe","Mapping: Mapeo de Profesional en la solicitud Informe","Mapping: Mapeo de Profesional Intervencionista en la solicitud Informe","Mapping: Mapeo de Solicitud a Perfil Solicitud","Mapping: Mapeo del Rut del Profesional en el Informe","Mapping: Mapeo del Rut del Profesional Solicitante en el Informe","Mapping: Mapeo del Rut del Profesional Interevencionista en el Informe"
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO","","","",0,*,"","","","null {[]} {[]}
","Modelo Lógico de Informe Patológico del R2BO","Modelo lógico para el conjunto de datos mínimo de un informe patológico del R2BO","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","DiagnosticReport"
"ModeloLogicoInformePatologicoR2BO.IdentificadorInforme","ModeloLogicoInformePatologicoR2BO.IdentificadorInforme","","","",1,1,"","","Y","Identifier {[]} {[]}
","Corresponde a una identificación única del informe de biopsia del establecimiento que analiza la muestra.","Corresponde a una identificación única del informe de biopsia del establecimiento que analiza la muestra.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.IdentificadorInforme",1,1,"","","DiagnosticReport.identifier[0]"
"ModeloLogicoInformePatologicoR2BO.paciente","ModeloLogicoInformePatologicoR2BO.paciente","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[https://interoperabilidad.minsal.cl/fhir/ig/r2bo/StructureDefinition/ModeloLogicoPacienteR2BO]]}
","Corresponde al paciente al cual se le realiza la biopsia.","Corresponde al paciente al cual se le realiza la biopsia.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.paciente",1,1,"","","DiagnosticReport.subject"
"ModeloLogicoInformePatologicoR2BO.solicitud","ModeloLogicoInformePatologicoR2BO.solicitud","","","",1,1,"","","Y","BackboneElement {[]} {[]}
","Corresponde a la solicitud de biopsia del paciente, la cual contiene los datos clínicos y antecedentes relevantes para el análisis de la muestra.","Corresponde a la solicitud de biopsia del paciente, la cual contiene los datos clínicos y antecedentes relevantes para el análisis de la muestra.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","DiagnosticReport.basedOn[0]","ServiceRequest"
"ModeloLogicoInformePatologicoR2BO.solicitud.id","ModeloLogicoInformePatologicoR2BO.solicitud.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ModeloLogicoInformePatologicoR2BO.solicitud.extension","ModeloLogicoInformePatologicoR2BO.solicitud.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ModeloLogicoInformePatologicoR2BO.solicitud.modifierExtension","ModeloLogicoInformePatologicoR2BO.solicitud.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ModeloLogicoInformePatologicoR2BO.solicitud.nroDeMuestra","ModeloLogicoInformePatologicoR2BO.solicitud.nroDeMuestra","","","",1,1,"","","Y","Identifier {[]} {[]}
","Cantidad de muestras analizadas.","Cantidad de muestras analizadas.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.nroDeMuestra",1,1,"","","ServiceRequest.specimen"
"ModeloLogicoInformePatologicoR2BO.solicitud.muestraOrgano","ModeloLogicoInformePatologicoR2BO.solicitud.muestraOrgano","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Se refiere al fragmento o tejido extraído del cuerpo del paciente que será analizado en el laboratorio de anatomía patológica. Este término abarca cualquier porción de tejido o células obtenidas mediante un procedimiento clínico (como una biopsia o citología) y es la base del diagnóstico histopatológico.","Se refiere al fragmento o tejido extraído del cuerpo del paciente que será analizado en el laboratorio de anatomía patológica. Este término abarca cualquier porción de tejido o células obtenidas mediante un procedimiento clínico (como una biopsia o citología) y es la base del diagnóstico histopatológico.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.muestraOrgano",1,1,"","","Specimen.collection[0].bodySite"
"ModeloLogicoInformePatologicoR2BO.solicitud.tipoProcedimiento","ModeloLogicoInformePatologicoR2BO.solicitud.tipoProcedimiento","","","",1,*,"","","Y","CodeableConcept {[]} {[]}
","Se refiere al método específico empleado para obtener la muestra de tejido o células que será analizada en el laboratorio. Este campo describe el procedimiento realizado, lo cual permite al equipo médico entender el método de extracción y su contexto clínico, ambos importantes para interpretar correctamente los resultados.","Se refiere al método específico empleado para obtener la muestra de tejido o células que será analizada en el laboratorio. Este campo describe el procedimiento realizado, lo cual permite al equipo médico entender el método de extracción y su contexto clínico, ambos importantes para interpretar correctamente los resultados.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.tipoProcedimiento",1,*,"","","Specimen.collection[0].method"
"ModeloLogicoInformePatologicoR2BO.solicitud.hipotesisDiagnostica","ModeloLogicoInformePatologicoR2BO.solicitud.hipotesisDiagnostica","","","",1,*,"","","Y","CodeableConcept {[]} {[]}
","Diagnóstico inicial planteado por el médico tratante basado en los signos, síntomas y antecedentes del paciente, que orienta las pruebas diagnósticas necesarias para confirmar o descartar la enfermedad sospechada. Esta hipótesis permite planificar el abordaje clínico mientras se espera el diagnóstico definitivo.","Diagnóstico inicial planteado por el médico tratante basado en los signos, síntomas y antecedentes del paciente, que orienta las pruebas diagnósticas necesarias para confirmar o descartar la enfermedad sospechada. Esta hipótesis permite planificar el abordaje clínico mientras se espera el diagnóstico definitivo.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.hipotesisDiagnostica",1,*,"","","ServiceRequest.reasonCode[0]"
