URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.4.621",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.236",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","ValueSet/diagnostic-report-status"
http://hl7.org/fhir/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.4.625",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/http-verb"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.331",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","ValueSet/location-mode"
http://hl7.org/fhir/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.333",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","ValueSet/location-status"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/search-entry-mode,4.0.1,active,"2.16.840.1.113883.4.642.4.623",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","ValueSet/search-entry-mode"
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/r2bo-hallazgos-clinicos-cie10-VS"
http://hl7.org/fhir/specimen-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.472",SpecimenStatus,SpecimenStatus,"Codes providing the status/availability of a specimen.","ValueSet/specimen-status"
