URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/procedure-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.427",ProcedureCodes(SNOMEDCT),Procedure Codes (SNOMED CT),"Procedure Code: All SNOMED CT procedure codes.","StructureDefinition/r2bo-solicitud-informe-apa","SCT"
http://hl7.org/fhir/us/mcode/ValueSet/mcode-tnm-stage-group-staging-type-vs,4.0.0,active,"2.16.840.1.113883.4.642.40.15.48.88",TNMStageGroupStagingTypeVS,TNM Stage Group Staging Type Value Set,"Identifying codes for the type of cancer staging performed, i.e., clinical, pathological, or other, for AJCC stage group observation.","StructureDefinition/r2bo-estadificacion-tnm","SCT"
http://hl7.org/fhir/us/mcode/ValueSet/mcode-tnm-staging-method-vs,4.0.0,active,"2.16.840.1.113883.4.642.40.15.48.90",TNMStagingMethodVS,TNM Staging Method Value Set,"Staging method used for AJCC TNM staging, e.g., AJCC 8th edition, UICC 7th edition, etc.","StructureDefinition/r2bo-categoria-tnm,StructureDefinition/r2bo-estadificacion-tnm","SCT,hl7.terminology.r4"
http://loinc.org/vs/LL237-9,null,active,,LOINCAnswersLL237-9,LOINC Answer Codes for LL237-9,"","ValueSet/r2bo-tnm-categoria-tumor-primario-patologico-vs","LOINC"
http://loinc.org/vs/LL238-7,null,active,,LOINCAnswersLL238-7,LOINC Answer Codes for LL238-7,"","ValueSet/r2bo-tnm-categoria-nodo-regional-patologico-vs","LOINC"
http://loinc.org/vs/LL239-5,null,active,,LOINCAnswersLL239-5,LOINC Answer Codes for LL239-5,"","ValueSet/r2bo-tnm-categoria-metastasis-distante-patologico-vs","LOINC"
http://loinc.org/vs/LL240-3,null,active,,LOINCAnswersLL240-3,LOINC Answer Codes for LL240-3,"","ValueSet/r2bo-Estadificacion-patologico-vs","LOINC"
http://terminology.hl7.org/ValueSet/v2-0916,2.0.0,active,"2.16.840.1.113883.21.440",Hl7VSRelevantClincialInformation,hl7VS-relevantClincialInformation,"Value Set of codes that specify additional clinical information about the patient or specimen to report the supporting and/or suspected diagnosis and clinical findings on requests for interpreted diagnostic studies.","StructureDefinition/r2bo-muestra-biopsia","THO (V2)"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-Estadificacion-patologico-vs,0.3.2,active,"2.16.840.1.113883.2.22.40.8.48.22",EstadificacionPatologicoVS,Set de Valores para la Estadificación,"Set de valores utilizados para la estadificación","StructureDefinition/r2bo-estadificacion-tnm",
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-categoria-reporte-biopsia-vs,0.3.2,active,"2.16.840.1.113883.2.22.40.8.48.1",CategoriaReporteBiopsiaVS,Set de Valores de la Categoría Reportes de Biopsia,"Códigos de tipos de categoría de reportes de biopsias en HL7","StructureDefinition/r2bo-informe-biopsia","THO (V2)"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-categorias-pTNM-VS,0.3.2,active,"2.16.840.1.113883.2.22.40.8.48.2",CategoriaspTNMVS,Set de Valores para Categorias pTNM,"Set de valores para las categorias para el TNM patológico","StructureDefinition/r2bo-categoria-tnm","SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-especialistas-autorizado-VS,0.3.2,active,"2.16.840.1.113883.2.22.40.8.48.3",EspecialistasAutorizadosR2BO,Especialistas Autorizados,"Estos son los especialistas autorizados para realizar informes anatomías patológicas","StructureDefinition/r2bo-rol-profesional-minsal","hl7.fhir.cl.minsal.nid"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-estructuras-anatomicas-VS,0.3.2,active,"2.16.840.1.113883.2.22.40.8.48.4",EstructuraAnatomicaVS,Set de Valores Para los Sitios del Cuerpo,"Set de valores para las distintas estructuras corporales de donde se obtienen las muestras","StructureDefinition/r2bo-muestra-biopsia","SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-grado-diferenciacion-vs,0.3.2,draft,"2.16.840.1.113883.2.22.40.8.48.5",GradoDiferenciacionVS,Set de Valores Para Grado de Diferenciación,"Grado de diferenciación tumoral según clasificación de la OMS","StructureDefinition/r2bo-extension-grado-diferenciacion","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-hallazgos-clinicos-cie10-VS,0.3.2,active,"2.16.840.1.113883.2.22.40.8.48.6",HallazgosClinicosCIE10VS,ValueSet Para Hallazgos Clínicos,"Este ValueSet contiene los códigos que representan las neoplasias de la CIE 10","StructureDefinition/r2bo-solicitud-informe-apa,StructureDefinition/r2bo-informe-biopsia","hl7.terminology.r4"
