Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.minsal.tei.json	38173	-	0	0	0	0	0	0	5	39	0	0	0	0	0	0	0	1	0	0	147	181	0	0	1	5	0	3
fsh-generated/resources/CodeSystem-CSConsecuenciaAtencionCodigo.json	1019	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	1706	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSDerivadoParaCodigo.json	1112	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSDestinoReferenciaCodigo.json	1167	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSDocAcreditacionCuidador.json	1752	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	32	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadBioqca.json	1062	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	29	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadFarma.json	1217	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	10	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadMed.json	5947	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	31	47	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadOdont.json	1881	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEstablecimientoDestino.json	1427	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	41	0	0	0	1	0	0
