Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.minsal.tei.json	43415	-	0	0	0	0	0	0	4	54	0	0	0	0	0	0	0	2	0	0	180	195	0	0	0	1	5	0	1
fsh-generated/resources/AllergyIntolerance-AllergyIntoleranceExample.json	933	4	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0	0
fsh-generated/resources/Appointment-AgendaEjemplo.json	1344	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleAgendarEjemplo.json	18683	7	1	0	0	0	35	0	1	446	0	0	0	0	0	0	0	0	0	0	55	50	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleAtenderEjemplo.json	23219	4	0	0	0	0	19	0	0	23	0	0	0	0	0	0	0	0	0	0	78	62	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleIniciarEjemplo.json	31258	5	0	0	0	0	12	0	1	22	0	0	0	0	0	0	0	0	0	0	100	76	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-BundlePriorizarEjemplo.json	13288	3	0	0	0	0	3	0	1	6	0	0	0	0	0	0	0	0	0	0	43	32	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleReferenciarEjemplo.json	14698	3	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	0	45	35	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleRevisarEjemplo.json	14492	3	0	0	0	0	2	0	0	163	0	0	0	0	0	0	0	0	0	0	48	38	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleTerminarEjemplo.json	13757	3	0	0	0	0	3	0	1	6	0	0	0	0	0	0	0	0	0	0	43	27	0	0	0	0	0	0	0
