Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.minsal.tei.json	43653	-	0	0	0	0	0	0	7	681	0	0	0	0	0	0	0	1	0	0	174	208	0	0	0	0	29	0	1
fsh-generated/resources/AllergyIntolerance-AllergyIntoleranceExample.json	933	5	0	0	2	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0	0
fsh-generated/resources/Appointment-AgendaEjemplo.json	1344	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleAgendarEjemplo.json	18713	7	33	0	0	0	0	0	1	58	0	0	0	0	0	0	0	0	0	0	60	53	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-BundleAtenderEjemplo.json	23238	6	26	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	88	102	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleIniciarEjemplo.json	31728	15	12	0	0	0	0	0	1	34	0	0	0	0	0	0	0	1	0	0	108	117	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundlePriorizarEjemplo.json	13288	11	3	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	46	40	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleReferenciarEjemplo.json	14744	4	2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	50	26	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleRevisarEjemplo.json	14488	39	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	51	28	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleTerminarEjemplo.json	13757	10	2	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	47	29	0	0	0	0	0	0	0
fsh-generated/resources/CarePlan-CarePlanAtencionEjemplo.json	976	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSConsecuenciaAtencionCodigo.json	1136	48	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	14	2403	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSDerivadoParaCodigo.json	1322	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	44	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSDestinoReferenciaCodigo.json	1393	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	36	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadBioqca.json	1210	16	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	35	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadFarma.json	1451	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	35	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadMed.json	9173	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	45	47	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadOdont.json	2573	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	22	34	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEstablecimientoDestino.json	1427	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	14	30	0	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-CSEstadoCivil.json	1508	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	31	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEstadoInterconsulta.json	1671	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	23	32	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSIndicecomorbilidad.json	1494	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	30	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMediodeContacto.json	1411	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	29	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSModalidadAtencionCodigo.json	1131	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	29	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSMotivoCierreInterconsulta.json	3321	3	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	26	55	0	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-CSMotivoNoContactabilidad.json	1299	5	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	29	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMotivoNoPertinenciaCodigo.json	1225	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	30	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSPertinenciaInterconsulta.json	1166	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSPractitionerTipoRolLE.json	1670	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	28	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSReligion.json	1784	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	30	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSTipoConsulta.json	966	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	26	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSTipoEventoLE.json	1553	4	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	27	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSTipoObservacionMinsal.json	1071	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	26	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSTituloProfesional.json	4486	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	29	29	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSorigenInterconsulta.json	1097	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	15	26	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PueblosOriginariosCS.json	1670	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	28	0	0	0	0	1	0	0
fsh-generated/resources/Condition-ConditionAtencionejemplo.json	1482	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionInicialEjemplo.json	1513	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-AtencionEjemplo.json	1367	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-EncounterIniciarEjemplo.json	1395	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	36	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrednisonaEjemplo.json	607	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-MesssageHeaderAtenderEjemplo.json	754	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0
fsh-generated/resources/Observation-AnamnesisEjemplo.json	821	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0	0
