Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.minsal.urgencia.json	45210	-	0	0	0	0	0	0	4	534	0	0	0	0	0	0	0	0	0	0	153	119	0	0	0	5	0	1
fsh-generated/resources/AllergyIntolerance-39d71be0-2eea-4672-ac70-73373a19e714.json	957	3	0	0	0	1	0	0	0	603	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-Ej1BundleAdmision.json	14236	3	0	0	0	0	19	0	1	12	0	0	0	0	0	0	0	1	0	0	37	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-Ej1BundleCategorizacion.json	6777	4	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	28	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleAtencion.json	14511	2	0	0	0	0	9	0	0	10	0	0	0	0	0	0	0	0	0	0	41	31	0	0	0	0	0	0
fsh-generated/resources/Bundle-EjBundleEgreso.json	10465	2	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	29	25	0	0	0	0	0	0
fsh-generated/resources/CarePlan-23eb67e4-4fd5-4315-963a-3c5e63fff3a5.json	1066	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodigosUrgencia.json	1651	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	1849	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSEstadoCivil.json	1185	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSReligion.json	1355	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	12	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-EspecialidadMedica.json	5971	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	30	49	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-LeyPrevisional.json	1658	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MedioDeLlegada.json	1775	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Procedencia.json	1951	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PueblosOriginariosCS.json	1463	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	41	0	0	0	0	0	0
