Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.cl.urgencia.json	45003	-	0	0	0	0	0	0	4	65	0	0	0	0	0	0	0	1	0	0	178	119	0	0	0	10	0	1
fsh-generated/resources/Bundle-EJ1BundleAddmission.json	14350	5	0	0	0	1	22	0	1	451	0	0	0	0	0	0	0	0	0	0	45	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEstadoCivil.json	1210	3	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	12	1453	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSReligion.json	1380	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	42	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PueblosOriginariosCS.json	1086	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-abandono.json	623	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-categorizacion-discrecional.json	960	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-categorizacion-esi.json	915	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-categorizacion-ugo.json	950	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-codigo-deis-establecimiento.json	418891	40	4	0	0	0	0	0	22	842	0	0	1	0	0	0	0	3	0	0	1929	912	0	0	0	60	0	2
fsh-generated/resources/CodeSystem-codigo-paises.json	16610	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	83	62	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-codigo-procedencia.json	1629	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	16	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-codigos-deis-servicio-salud.json	2980	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	21	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-comunas.json	22724	3	1	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	107	58	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-destino-fallecido.json	739	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-destino-traslado.json	731	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	22	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-especialidad-medica.json	5645	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	33	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-especialidad-odontologica.json	1432	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eventos-urgencia.json	907	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fallecido.json	651	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-identidad-genero.json	884	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-indicacion-alta.json	879	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-indicacion-hospitalizacion.json	907	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-indicacion-traslado-otro-centro.json	936	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-lesion-autoinflingida.json	691	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ley-previsional.json	1333	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medio-llegada.json	1376	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-prevision.json	1280	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-provincias.json	4003	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	30	22	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-pueblo-indigena.json	1143	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	14	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-regiones.json	1570	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-relacion-acompanante.json	852	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-servicio-salud.json	2841	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	25	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-sexo-biologico.json	787	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tipo-egreso.json	1000	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tipo-sistema-categorizacion.json	787	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tipo-solicitud.json	977	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tipo-via-residencia.json	1044	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tipos-participante-encounter.json	640	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-titulo-profesional.json	2065	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-unidad-hospitalaria-destino.json	3421	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	22	21	0	0	0	1	0	0
fsh-generated/resources/Encounter-391d2365-379b-4b3a-b416-89ae62e2f501.json	2269	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-894bdb3a-8a18-44db-ab64-b13262a432cc.json	702	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-24843ad3-d657-463b-a137-33c38def43e5.json	971	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/Organization-5491b8d5-e06c-4f89-beb7-75a1989cdc81.json	752	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Patient-6ec6dc25-4b65-4165-a545-9b796f60b997.json	5273	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-Ej1PractitionerUrgencia.json	1269	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
