URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/encounter-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.250",ParticipantType,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","ValueSet/tipos-participante-encounter","THO (V3),THO"
http://proceso-urgencia.minsal.cl/ValueSet/PueblosOriginariosVS,0.1.0,draft,,PueblosOriginariosVS,Pueblos Originarios de Chile,"Pueblos Originarios de Chile","StructureDefinition/PueblosOriginarios","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/VSEstadoCivil,0.1.0,active,,VSEstadoCivil,EstadoCivil,"EstadoCivil","StructureDefinition/PacienteUrgencia","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/VSReligion,0.1.0,active,,VSReligion,Religion,"Religion","StructureDefinition/Religion","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/abandono,0.1.0,draft,,VSAbandono,Abandono,"Códigos asociados al tipo de abandono del paciente desde urgencia.","StructureDefinition/observacion-egreso","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/categorizacion-paciente,0.1.0,draft,,VSCategorizacionPaciente,Categorización de Paciente,"Códigos de categorización de un paciente en un evento de urgencia.","StructureDefinition/codigo-categorizacion","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/codigo-deis-servicios-salud,0.1.0,draft,,VSCodigoDeisServiciosSalud,Codigos Servicio Salud,"Códigos de Servicios de Salud DEIS (Norma 820)",,"Internal"
http://proceso-urgencia.minsal.cl/ValueSet/codigo-procedencia,0.1.0,draft,,VSCodigoProcedencia,Codigo Procedencia Admision,"Códigos de procedencia de un paciente en un evento de urgencia.","StructureDefinition/procedencia","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/destino-fallecido,0.1.0,draft,,VSDestinoFallecido,Destino Fallecido,"Códigos asociados a la situación final de los usuarios fallecidos durante la atención de urgencia.","StructureDefinition/observacion-egreso","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/destino-traslado,0.1.0,draft,,VSDestinoTraslado,Destino Traslado,"Códigos asociados a destino de traslado del paciente desde urgencia.","StructureDefinition/observacion-egreso","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/especialidad-medica,0.1.0,draft,,VSEspecialidadMedica,Especialidad Médica,"Códigos de especialidades médicas (Norma 820)","StructureDefinition/profesional-medico","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/especialidad-odontologica,0.1.0,draft,,VSEspecialidadOdontologica,Especialidad Odontológica,"Códigos de especialidades odontológicas (Norma 821)","StructureDefinition/profesional-medico","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/estado-antecedente,0.1.0,draft,,VSEstadoAntecedente,Estado Antecedente,"Valores posibles a registrar en verificationStatus de un antecedente","StructureDefinition/antecedente-dm2,StructureDefinition/antecedente-epoc,StructureDefinition/antecedente-dlp,StructureDefinition/antecedente-insuf-cardiaca,StructureDefinition/antecedente-hta,StructureDefinition/antecedente-acv,StructureDefinition/antecedente-cancer,StructureDefinition/antecedente-enf-coronaria","THO"
http://proceso-urgencia.minsal.cl/ValueSet/eventos-urgencia,0.1.0,draft,,VSEventosUrgencia,Eventos Urgencia,"Códigos de eventos de urgencia","StructureDefinition/message-header-urgencia","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/fallecido,0.1.0,draft,,VSFallecido,Fallecido,"Códigos asociados al momento en que el paciente fallece en el servicio de urgencia.","StructureDefinition/observacion-egreso","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/indicacion-alta,0.1.0,draft,,VSIndicacionAlta,Indicación de Alta,"Códigos asociados al destino de alta dados por parte del profesional médico al usuario posterior a su atención de urgencia.","StructureDefinition/observacion-egreso","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/indicacion-hospitalizacion,0.1.0,draft,,VSIndicacionHospitalizacion,Indicación Hospitalización,"Códigos asociados al destino de hospitalización dados por parte del profesional médico al usuario posterior a su atención de urgencia.","StructureDefinition/observacion-egreso","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/indicacion-traslado-otro-centro,0.1.0,draft,,VSIndicacionTrasladoOtroCentro,Indicación Traslado Otro Centro,"Códigos correspondientes a la derivación  o traslado del usuario a otro centro asistencial de salud, el cual puede ser o no perteneciente al Servicio Nacional de Salud.","StructureDefinition/observacion-egreso","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/lesion-autoinflingida,0.1.0,draft,,VSLesionAutoinflingida,Lesión Autoinflingida,"Códigos de lesión autoinflingida","StructureDefinition/observacion-atencion","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/ley-previsional,0.1.0,draft,,VSLeyPrevisional,Ley Previsional,"Códigos de Ley Previsional","StructureDefinition/ley-previsional","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/medio-llegada,0.1.0,draft,,VSMedioLlegada,Medio Llegada Admision,"Códigos de Medio de Llegada","StructureDefinition/encounter-admision,StructureDefinition/medio-llegada","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/prevision,0.1.0,draft,,VSPrevision,Prevision,"La previsión es la  variable determinada el sistema de aseguramiento de salud del paciente.","StructureDefinition/prevision","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/relacion-acompanante,0.1.0,draft,,VSRelacionAcompanante,Relacion Acompañante,"Códigos de relación del acompañante con el paciente.","StructureDefinition/acompanante-urgencia","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/servicio-salud,0.1.0,draft,,VSServicioSalud,Servicios de Salud,"Códigos de Servicios de Salud de Chile según norma 820","StructureDefinition/servicio-salud","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/tipo-egreso,0.1.0,draft,,VSTipoEgreso,Tipo Egreso,"Corresponde a códigos asociados a la decisión del médico u odontólogo del destino que debe seguir el usuario en virtud de su evaluación y situación clínica antes de cerrar el proceso de urgencia.","StructureDefinition/observacion-egreso","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/tipo-sistema-categorizacion,0.1.0,draft,,VSTipoSistemaCategorizacion,Tipo de sistema de categorización,"Códigos tipo de sistema de categorización","StructureDefinition/codigo-categorizacion","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/tipo-solicitud,0.1.0,draft,,VSTipoSolicitud,Tipo de Solicitud,"Set de códigos para el tipo de solicitud realizados durante un encuentro de atención de urgencia","StructureDefinition/solcitud-urgencia","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/tipo-via-residencia,0.1.0,draft,,VSTipoViaResidencia,Tipo Via Residencia,"Códigos de tipo de vía de residencia Norma 820","StructureDefinition/tipo-via-residencia","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/tipos-participante-encounter,0.1.0,draft,,VSTiposParticipanteEncounter,Tipos Participante Encounter,"Códigos de los tipos de participante de un Encounter","StructureDefinition/encounter-categorizacion,StructureDefinition/egreso-urgencia,StructureDefinition/encuentro-atencion,StructureDefinition/encounter-admision","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/titulo-profesional,0.1.0,draft,,VSTituloProfesional,Título Profesional,"Códigos de los títulos profesionales de un profesional de la salud que participa de la atención de un paciente",,"Internal"
http://proceso-urgencia.minsal.cl/ValueSet/titulo-profesional-categorizador,0.1.0,draft,,VSTituloProfesionalCategorizador,Título Profesional Categorizador,"Códigos de los títulos profesionales de un profesional categorizador de un paciente en un servicio de urgencia","StructureDefinition/codigo-categorizacion,StructureDefinition/titulo-profesional-categorizador","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/titulo-profesional-medico,0.1.0,draft,,VSTituloProfesionalMedico,Título Profesional Médico,"Códigos de los títulos profesionales médicos u odontólogo de un profesional de la salud que participa de la atención de un paciente","StructureDefinition/profesional-medico","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/titulo-profesional-no-medico,0.1.0,draft,,VSTituloProfesionalNoMedico,Título Profesional No Médico,"Códigos de los títulos profesionales no médicos de un profesional de la salud que participa de la atención de un paciente","StructureDefinition/profesional-no-medico","Internal"
http://proceso-urgencia.minsal.cl/ValueSet/unidad-hospitalaria-destino,0.1.0,draft,,VSUnidadHospitalariaDestino,Unidad Hospitalaria Destino,"Códigos asociados a Unidad Funcional de destino si es que el paciente requiere hospitalización en el mismo establecimiento.","StructureDefinition/observacion-egreso","Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/CodPais,1.9.0,active,,CodPaises,Códigos de Países,"Codigos definidos para la identificación de países segun norma ISO3166-N","StructureDefinition/PaisOrigenMPI","hl7.fhir.cl.clcore"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSTipoIdentificador,1.9.0,active,,VSTipoIdentificador,Tipo Identificador,"Tipo Identificador","StructureDefinition/PacienteUrgencia","hl7.fhir.cl.clcore"
