URL,Version,Status,OIDs,Name,Title,Description,Used
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/SignosVitales"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/estado-antecedente"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSTipoIdentificador,1.9.1,active,,CSTipoIdentificador,Tipo Identificador,"Tipo Identificador","ValueSet/IdentificadorPrestador,ValueSet/VSTipoIdentificador"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CodPais,1.9.1,active,,CSCodPaises,Códigos de Países,"Codigos definidos para la identificación de países segun norma ISO3166-N","ValueSet/CodPais"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/CSEstadoCivil,0.1.0,active,,CSEstadoCivil,EstadoCivil,"EstadoCivil","ValueSet/VSEstadoCivil"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/CSReligion,0.1.0,active,,CSReligion,Religion,"Religion","ValueSet/VSReligion"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/CSServicioDeSalud,0.1.0,draft,,CSServicioDeSalud,Servicio de Salud,"Códigos de Servicios de Salud en Chile presentes en Norma Técnica 820.","ValueSet/VSServicioDeSalud"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/EspecialidadMedica,0.1.0,draft,,CSEspecialidadMedica,Especialidad Médica,"Especialidades médicas reconocidas en el sistema de salud de Chile.","ValueSet/EspecialidadMedica"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/LeyPrevisional,0.1.0,draft,,CSLeyPrevisional,Ley Previsional,"Códigos para la ley previsional","ValueSet/LeyPrevisional"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/MedioDeLlegada,0.1.0,draft,,CSMedioDeLlegada,Medio de Llegada,"Corresponde a las posibles formas de llegada de un paciente a un servicio de atención de urgencia","ValueSet/MedioDeLlegada"
https://interoperabilidad.minsal.cl/fhir/ig/urgencia/CodeSystem/Prevision,0.1.0,draft,,CSPrevision,Prevision,"Previsión de salud del paciente","ValueSet/Prevision"
